level_id,board_type,row_type,route_or_fault_id,source_node,destination_node,source_label,destination_label,asset_ids,required_or_false,scoring_weight,stereo_group,false_route_family,player_feedback_note,implementation_note
LIV-020,patch,required_route,liv020-aux-1-to-iem-pack-1,foh-aux-1-output,iem-pack-1-input,FOH Aux 1 Output,IEM 1 Input,ls_monitor_console_rack|ls_personal_mono_iem_pack,required,100,none,none,Aux 1 feeds IEM pack 1.,Mono route only.
LIV-020,patch,required_route,liv020-aux-2-to-iem-pack-2,foh-aux-2-output,iem-pack-2-input,FOH Aux 2 Output,IEM 2 Input,ls_monitor_console_rack|ls_personal_mono_iem_pack,required,100,none,none,Aux 2 feeds IEM pack 2.,Mono route only.
LIV-020,patch,required_route,liv020-aux-3-to-iem-pack-3,foh-aux-3-output,iem-pack-3-input,FOH Aux 3 Output,IEM 3 Input,ls_monitor_console_rack|ls_personal_mono_iem_pack,required,100,none,none,Aux 3 feeds IEM pack 3.,Mono route only.
LIV-020,patch,required_route,liv020-aux-4-to-iem-pack-4,foh-aux-4-output,iem-pack-4-input,FOH Aux 4 Output,IEM 4 Input,ls_monitor_console_rack|ls_personal_mono_iem_pack,required,100,none,none,Aux 4 feeds IEM pack 4.,Mono route only.
LIV-020,patch,required_route,liv020-aux-5-to-iem-pack-5,foh-aux-5-output,iem-pack-5-input,FOH Aux 5 Output,IEM 5 Input,ls_monitor_console_rack|ls_personal_mono_iem_pack,required,100,none,none,Aux 5 feeds IEM pack 5.,Mono route only.
LIV-020,patch,false_route,liv020-main-to-iem-trap,foh-main-l-output,iem-pack-1-input,Main L Output,IEM 1 Input,ls_monitor_console_rack|ls_personal_mono_iem_pack,false,0,none,main_out_to_monitor,Main outputs feed the PA not a personal monitor mix.,Fair trap because labels are explicit.
LIV-020,patch,false_route,liv020-bus-to-iem-trap,foh-bus-1-output,iem-pack-2-input,Bus 1 Output,IEM 2 Input,ls_monitor_console_rack|ls_personal_mono_iem_pack,false,0,none,bus_instead_of_aux,Use aux sends for performer IEM mixes on this board.,Bus output should be visible but secondary.
LIV-020,patch,false_route,liv020-record-to-iem-trap,record-out-l,iem-pack-3-input,Record Out L,IEM 3 Input,ls_monitor_console_rack|ls_personal_mono_iem_pack,false,0,none,record_out_to_monitor,Record outputs are not performer monitor sends.,Avoid punishing if record output label is hidden.
LIV-020,patch,false_route,liv020-audio-to-rf-trap,foh-aux-4-output,iem-pack-4-rf-port,FOH Aux 4 Output,IEM 4 RF Port,ls_monitor_console_rack|ls_personal_mono_iem_pack,false,0,none,rf_only_port,RF antenna ports are not audio inputs.,Port must be labeled RF or Antenna.
LIV-020,patch,false_route,liv020-wrong-pack-trap,foh-aux-5-output,iem-pack-1-input,FOH Aux 5 Output,IEM 1 Input,ls_monitor_console_rack|ls_personal_mono_iem_pack,false,0,none,wrong_iem_pack,That is an audio path but it feeds the wrong performer pack.,Teaches destination identity.
