level_id,board_type,concept,required_asset_ids,optional_asset_ids,reusable_existing_paths,missing_asset_ids,likely_route_families,stereo_pair_requirements,false_route_families,notes
LIV-020,patch,FOH aux sends to multiple mono IEM packs,ls_personal_mono_iem_pack|ls_monitor_console_rack,ls_talkback_source_box,assets/live-sound/svg/hardware/iem-wireless-rack-front.svg|assets/live-sound/svg/hardware/foh-console-io-panel.svg,ls_personal_mono_iem_pack|ls_monitor_console_rack,foh_aux_to_mono_iem,none,main_outs|bus_outs|record_outs|rf_only_ports,Keep this board mono and readable before stereo IEM diagnosis appears
LIV-021,patch,Wedge mixes plus sidefill send,ls_floor_wedge_monitor|ls_sidefill_stack|ls_monitor_console_rack,ls_distributed_zone_amp_rack,assets/live-sound/svg/hardware/monitor-wedge-input-panel.svg|assets/build-room/svg/gear/stage monitor.svg,ls_floor_wedge_monitor|ls_sidefill_stack|ls_monitor_console_rack,aux_to_wedge|aux_or_matrix_to_sidefill,sidefill may be mono or L/R by final design,main_outs|record_outs|wrong_wedge_inputs,Teach wedge versus sidefill destination intent
LIV-022,diagnosis,Monitor send wrong bus or performer hears wrong mix,ls_monitor_send_fault_scene,ls_floor_wedge_monitor|ls_personal_mono_iem_pack,assets/diagnosis/svg/backgrounds/diagnosis-board-shell.svg|assets/diagnosis/svg/monitors/signal-flow-patch-tester.svg,ls_monitor_send_fault_scene,diagnose_wrong_aux_or_bus,none,main_outs|wrong_aux|wrong_bus,Use symptom wording tied to performer mix mismatch
LIV-023,patch,Drum fill plus sidefill plus vocal wedge,ls_drum_fill_speaker|ls_sidefill_stack|ls_floor_wedge_monitor|ls_monitor_console_rack,ls_personal_mono_iem_pack,assets/drums/svg/drum-kit-5-piece-8-hitboxes.svg|assets/live-sound/svg/hardware/monitor-wedge-input-panel.svg,ls_drum_fill_speaker|ls_sidefill_stack|ls_floor_wedge_monitor|ls_monitor_console_rack,aux_to_drum_fill|aux_to_sidefill|aux_to_wedge,none,main_outs|wrong_aux_number|record_out,Adds multiple monitor destination families without split concepts
LIV-024,ir_listening,Identify room or reverb space for live venue,ls_ir_theater_space_pack,none,assets/IR images/Club  Live Venue0.png|assets/IR images/Concert Hall.png|assets/IR images/Outdoor Open Air.png,none,ir_room_match,none,wrong_room_family,Existing IR image library covers this with optional polish
LIV-025,patch,Aux-fed sub or processor route,ls_matrix_processor_zone_dsp,ls_distributed_zone_amp_rack,assets/live-sound/svg/hardware/crossover-liv010-3way.svg|assets/live-sound/svg/hardware/power-amp-liv006-system-delay-processor.svg,ls_matrix_processor_zone_dsp,aux_to_processor|processor_to_sub,processor stereo pair only if designed L/R,main_outs|sidechain|link|network,Can reuse existing processor assets if new DSP is not ready
LIV-026,patch,Delay tower feed,ls_delay_fill_speaker,ls_matrix_processor_zone_dsp,assets/live-sound/svg/hardware/power-amp-liv006-system-delay-processor.svg|assets/live-sound/svg/hardware/line-array-liv010-left.svg,ls_delay_fill_speaker,matrix_or_processor_to_delay_tower,L/R tower pair if using stereo tower,main_outs_without_delay|frontfill_out|wrong_processor_out,Existing delay processor is a strong anchor
LIV-027,build-room,Small festival stage package,ls_sidefill_stack|ls_floor_wedge_monitor|ls_personal_mono_iem_pack,ls_delay_fill_speaker,assets/build-room/svg/gear/main PA speaker syste.svg|assets/build-room/svg/gear/stage monitor.svg|assets/build-room/svg/gear/iem-receiver-bodypack-teal-led.svg,ls_sidefill_stack|ls_floor_wedge_monitor|ls_personal_mono_iem_pack,build_room_package_selection,none,undersized_pa|missing_monitoring|wrong_record_gear,Use thumbnails before patch variants are required
LIV-028,patch,Talkback to IEM or monitor system,ls_talkback_source_box|ls_personal_mono_iem_pack|ls_monitor_console_rack,ls_floor_wedge_monitor,assets/live-sound/svg/hardware/live mic.svg|assets/live-sound/svg/hardware/iem-rack-liv019-five-inputs.svg,ls_talkback_source_box|ls_personal_mono_iem_pack|ls_monitor_console_rack,talkback_to_aux_or_monitor,none,main_pa|record_out|network_only,Talkback must not be routed to audience PA
LIV-029,patch,Split snake with FOH plus monitor console,ls_transformer_split_rack|ls_foh_split_panel|ls_monitor_split_panel,ls_monitor_console_rack,assets/live-sound/svg/hardware/stagebox-snake-head-16x2-aes.svg|assets/live-sound/svg/hardware/16ch FOH console0.svg,ls_transformer_split_rack|ls_foh_split_panel|ls_monitor_split_panel,stage_source_to_split|split_to_foh|split_to_monitor,none,record_split_as_monitor|foh_direct_without_split|ground_lift,First ownership and split routing board
LIV-030,patch,Recording split plus broadcast feed,ls_transformer_split_rack|ls_broadcast_record_split_panel|ls_stream_broadcast_feed_box,ls_foh_split_panel,assets/build-room/svg/gear/field recorder.svg|assets/build-room/svg/gear/Stream encoder.svg,ls_transformer_split_rack|ls_broadcast_record_split_panel|ls_stream_broadcast_feed_box,split_to_record|broadcast_program_feed,broadcast L/R must validate as pair,main_outs_only|phones|network_only|wrong_split_leg,Adds record and stream endpoints to split concept
LIV-031,diagnosis,Performer hears left only or IEM stereo issue,ls_monitor_send_fault_scene|ls_personal_mono_iem_pack,ls_theater_commissioning_fault_art,assets/diagnosis/svg/monitors/insert-path-monitor.svg|assets/live-sound/svg/hardware/iem-wireless-rack-front.svg,ls_monitor_send_fault_scene,diagnose_missing_stereo_side,IEM L/R must both exist and both validate,mono_aux_to_stereo_pack|left_only|right_only,Make stereo-pair rule explicit before matrix boards
LIV-032,patch,Front fills from matrix outputs,ls_matrix_patch_panel_8out|ls_frontfill_pair|ls_matrix_processor_zone_dsp,ls_distributed_zone_amp_rack,assets/live-sound/svg/hardware/foh-console-liv006-matrix-main-outs.svg|assets/build-room/svg/gear/frontfill.svg,ls_matrix_patch_panel_8out|ls_frontfill_pair|ls_matrix_processor_zone_dsp,matrix_to_frontfill,frontfill L/R pair if using stereo frontfill,main_l_r|aux_outs|record_outs|wrong_matrix,First matrix destination board
LIV-033,patch,Outfills and delay fills,ls_matrix_patch_panel_8out|ls_outfill_pair|ls_delay_fill_speaker,ls_matrix_processor_zone_dsp,assets/live-sound/svg/hardware/line-array-liv010-left.svg|assets/live-sound/svg/hardware/power-amp-liv006-system-delay-processor.svg,ls_matrix_patch_panel_8out|ls_outfill_pair|ls_delay_fill_speaker,matrix_to_outfill|matrix_to_delay_fill,outfill L/R and delay L/R if stereo,frontfill_matrix|main_l_r|aux_monitor,Add destination-role discrimination
