level_id,status,route_index,title,source_label,destination_label,source_node_key,destination_node_key,route_key,stereo_route,stereo_side,stereo_group,equipment_needed,generated_jack_families,false_or_misleading_jacks,notes
LIV-001,non-patch-do-not-convert,1,Lead Vocal Mic to FOH,Lead Vocal Mic,Stage Box Input 1,lead-vocal-mic,stagebox-input-1,lead-vocal-mic-to-stagebox-input-1,no,,,16-channel stagebox; Source microphone,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-001,non-patch-do-not-convert,2,Lead Vocal Mic to FOH,Main L Output,System Processor L In,main-l-output,system-processor-l-in,main-l-output-to-system-processor-l-in,yes,left,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-001,non-patch-do-not-convert,3,Lead Vocal Mic to FOH,Main R Output,System Processor R In,main-r-output,system-processor-r-in,main-r-output-to-system-processor-r-in,yes,right,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-002,patch-board,1,Vocal wedge mix 2,Lead Vocal Mic,Stage Box Input 1,lead-vocal-mic,stagebox-input-1,lead-vocal-mic-to-stagebox-input-1,no,,,16-channel stagebox; Source microphone,Stagebox inputs 1-16,Unused stagebox inputs,
LIV-002,patch-board,2,Vocal wedge mix 2,FOH Aux 1 Output,Vocal Wedge Input,foh-aux-1-output,vocal-wedge-input,foh-aux-1-output-to-vocal-wedge-input,no,,,FOH console; Vocal wedge monitor,FOH Aux outputs used by level; Vocal Wedge Input,Wrong aux output,
LIV-003,patch-board,1,Stereo IEM send 1,FOH Aux 5 L Output,IEM TX A Left Input,foh-aux-5-l-output,iem-tx-a-left-input,foh-aux-5-l-output-to-iem-tx-a-left-input,yes,left,FOH Aux 5 {SIDE} Output -> IEM TX A {SIDE} Input,FOH console; IEM transmitter,FOH Aux 5 L Output; FOH Aux 5 R Output; IEM TX A Left Input; IEM TX A Right Input; optional B pair if level uses B,Wrong IEM side/input; Main output as unsafe monitor-source trap; Wrong aux output,
LIV-003,patch-board,2,Stereo IEM send 1,FOH Aux 5 R Output,IEM TX A Right Input,foh-aux-5-r-output,iem-tx-a-right-input,foh-aux-5-r-output-to-iem-tx-a-right-input,yes,right,FOH Aux 5 {SIDE} Output -> IEM TX A {SIDE} Input,FOH console; IEM transmitter,FOH Aux 5 L Output; FOH Aux 5 R Output; IEM TX A Left Input; IEM TX A Right Input; optional B pair if level uses B,Wrong IEM side/input; Main output as unsafe monitor-source trap; Wrong aux output,
LIV-004,non-patch-do-not-convert,1,Front fill matrix,Matrix 1 Output,Front Fill Processor Input,matrix-1-output,front-fill-processor-input,matrix-1-output-to-front-fill-processor-input,no,,,FOH console; Front-fill processor,FOH Matrix outputs 1-3 or level-specific matrix set,Wrong matrix output,
LIV-004,non-patch-do-not-convert,2,Front fill matrix,Main L Output,System Processor L In,main-l-output,system-processor-l-in,main-l-output-to-system-processor-l-in,yes,left,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-004,non-patch-do-not-convert,3,Front fill matrix,Main R Output,System Processor R In,main-r-output,system-processor-r-in,main-r-output-to-system-processor-r-in,yes,right,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-005,non-patch-do-not-convert,1,Sub matrix feed,Matrix 2 Output,Sub Processor Input,matrix-2-output,sub-processor-input,matrix-2-output-to-sub-processor-input,no,,,FOH console; Sub processor,FOH Matrix outputs 1-3 or level-specific matrix set; Sub Input / Sub Processor Input,Wrong matrix output,
LIV-005,non-patch-do-not-convert,2,Sub matrix feed,Main L Output,System Processor L In,main-l-output,system-processor-l-in,main-l-output-to-system-processor-l-in,yes,left,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-005,non-patch-do-not-convert,3,Sub matrix feed,Main R Output,System Processor R In,main-r-output,system-processor-r-in,main-r-output-to-system-processor-r-in,yes,right,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
LIV-006,patch-board,1,Delay tower route,Matrix 3 Output,Delay Tower Processor Input,matrix-3-output,delay-tower-processor-input,matrix-3-output-to-delay-tower-processor-input,no,,,Delay tower processing; FOH console,Delay Tower Processor Input / Delay Input; FOH Matrix outputs 1-3 or level-specific matrix set,Wrong matrix output,
LIV-006,patch-board,2,Delay tower route,Main L Output,System Processor L In,main-l-output,system-processor-l-in,main-l-output-to-system-processor-l-in,yes,left,Main {SIDE} Output -> System Processor {SIDE} In,FOH console; System processor / crossover,FOH Main L Output; FOH Main R Output; System Processor L In; System Processor R In; processor outputs,Crossed L/R main/system processor jacks,
