level_id,status,title,brief,difficulty,time,training_type,required_route_count,source_file
LIV-001,non-patch-do-not-convert,Lead Vocal Mic to FOH,Patch Lead Vocal Mic into the stagebox and feed mains to system processing.,,,build-room,3,launch/Signal_Flow_v1_41_16_IR_NORMAL_LEVEL_FLOW_FIX.html
LIV-002,patch-board,Vocal wedge mix 2,Patch a vocal monitor aux to the wedge input.,,,,2,launch/Signal_Flow_v1_41_16_IR_NORMAL_LEVEL_FLOW_FIX.html
LIV-003,patch-board,Stereo IEM send 1,Patch stereo aux outputs into the IEM transmitter.,,,,2,launch/Signal_Flow_v1_41_16_IR_NORMAL_LEVEL_FLOW_FIX.html
LIV-004,non-patch-do-not-convert,Front fill matrix,Patch matrix output to front-fill processing while mains remain active.,,,quiz,3,launch/Signal_Flow_v1_41_16_IR_NORMAL_LEVEL_FLOW_FIX.html
LIV-005,non-patch-do-not-convert,Sub matrix feed,Patch sub matrix output to the sub processor.,,,,3,launch/Signal_Flow_v1_41_16_IR_NORMAL_LEVEL_FLOW_FIX.html
LIV-006,patch-board,Delay tower route,Patch a matrix output to the delay tower processor.,,,,3,launch/Signal_Flow_v1_41_16_IR_NORMAL_LEVEL_FLOW_FIX.html
LIV-007,patch-board,Broadcast split,Patch broadcast split outputs for a recorder or stream feed.,,,,2,launch/Signal_Flow_v1_41_16_IR_NORMAL_LEVEL_FLOW_FIX.html
LIV-008,non-patch-do-not-convert,Talkback to monitor system,Route talkback into the monitor send path without feeding mains.,,,diagnose,2,launch/Signal_Flow_v1_41_16_IR_NORMAL_LEVEL_FLOW_FIX.html
LIV-009,patch-board,Keyboard stereo inputs,Patch stereo keyboard DIs into adjacent stagebox inputs.,,,,2,launch/Signal_Flow_v1_41_16_IR_NORMAL_LEVEL_FLOW_FIX.html
LIV-010,patch-board,Main PA amp feed,"Patch the console mains into the system processor, then patch the processor outputs into the main PA amplifier inputs.",,,,4,launch/Signal_Flow_v1_41_16_IR_NORMAL_LEVEL_FLOW_FIX.html
LIV-011,patch-board,Lead Vocal Mic to FOH,Patch Lead Vocal Mic into the stagebox and feed mains to system processing.,,,,5,launch/Signal_Flow_v1_41_16_IR_NORMAL_LEVEL_FLOW_FIX.html
LIV-012,patch-board,Vocal wedge mix 4,Patch a vocal monitor aux to the wedge input.,,,,4,launch/Signal_Flow_v1_41_16_IR_NORMAL_LEVEL_FLOW_FIX.html
LIV-013,non-patch-do-not-convert,Stereo IEM send 1,Patch stereo aux outputs into the IEM transmitter.,,,build-room,5,launch/Signal_Flow_v1_41_16_IR_NORMAL_LEVEL_FLOW_FIX.html
LIV-014,non-patch-do-not-convert,Front fill matrix,Patch matrix output to front-fill processing while mains remain active.,,,,4,launch/Signal_Flow_v1_41_16_IR_NORMAL_LEVEL_FLOW_FIX.html
LIV-015,patch-board,Sub matrix feed,Patch sub matrix output to the sub processor.,,,,4,launch/Signal_Flow_v1_41_16_IR_NORMAL_LEVEL_FLOW_FIX.html
LIV-016,patch-board,Delay tower route,Patch a matrix output to the delay tower processor.,,,,4,launch/Signal_Flow_v1_41_16_IR_NORMAL_LEVEL_FLOW_FIX.html
LIV-017,non-patch-do-not-convert,Broadcast split,Patch broadcast split outputs for a recorder or stream feed.,,,diagnose,5,launch/Signal_Flow_v1_41_16_IR_NORMAL_LEVEL_FLOW_FIX.html
LIV-018,patch-board,Talkback to monitor system,Route talkback into the monitor send path without feeding mains.,,,,5,launch/Signal_Flow_v1_41_16_IR_NORMAL_LEVEL_FLOW_FIX.html
LIV-019,patch-board,Keyboard stereo inputs,Patch stereo keyboard DIs into adjacent stagebox inputs.,,,,4,launch/Signal_Flow_v1_41_16_IR_NORMAL_LEVEL_FLOW_FIX.html
LIV-020,patch-board,Main PA amp feed,"Patch the console mains into the system processor, then patch the processor outputs into the main PA amplifier inputs.",,,,4,launch/Signal_Flow_v1_41_16_IR_NORMAL_LEVEL_FLOW_FIX.html
