level,file,occurrences,route_like_snippet
LIV-001,docs/build_notes_history/BUILD_NOTES_v1_40_93_BUILD_ROOM_GEAR_FIX.txt,1,"Changed:
- Fixed Build-the-Room shelf naming so vague labels like Audio Gear and Communication Interface no longer appear.
- Live Sound Build-the-Room shelves now derive needed equipment from the actual required routes, not only the training.needed list.
- Stage Box / Stagebox route endpoints now produce an Audio Snake shelf item for Live Sound.
- IEM TX endpoints now produce IEM Transmitter, not Headphones.
- Phone Hybrid, Comms Router, Intercom Beltpack, IEM Beltpack Receiver, System Processor, DI Box, Mixing Console, Microphone, and Audio Snake are specific named shelf items.
Verification targets:
- LIV-001 Build Room should require Microphone, Audio Snake, Mixing Console, and System Processor.
- LIV-013 Build Room should require Microphone, DI Box, Audio Snake, Mixing Console, and IEM Transmitter.
- No shelf item should display Audio Gear or Communication Interface.
Preserved:
- Route data and validation logic.
- v1.40.92 Live Sound consolidation layout pass.
- Stereo-pair completeness behavior."
LIV-013,docs/build_notes_history/BUILD_NOTES_v1_40_93_BUILD_ROOM_GEAR_FIX.txt,1,"- Fixed Build-the-Room shelf naming so vague labels like Audio Gear and Communication Interface no longer appear.
- Live Sound Build-the-Room shelves now derive needed equipment from the actual required routes, not only the training.needed list.
- Stage Box / Stagebox route endpoints now produce an Audio Snake shelf item for Live Sound.
- IEM TX endpoints now produce IEM Transmitter, not Headphones.
- Phone Hybrid, Comms Router, Intercom Beltpack, IEM Beltpack Receiver, System Processor, DI Box, Mixing Console, Microphone, and Audio Snake are specific named shelf items.
Verification targets:
- LIV-001 Build Room should require Microphone, Audio Snake, Mixing Console, and System Processor.
- LIV-013 Build Room should require Microphone, DI Box, Audio Snake, Mixing Console, and IEM Transmitter.
- No shelf item should display Audio Gear or Communication Interface.
Preserved:
- Route data and validation logic.
- v1.40.92 Live Sound consolidation layout pass.
- Stereo-pair completeness behavior."
LIV-113,docs/build_notes_history/BUILD_NOTES_v1_40_94_FULL_VARIETY_SYSTEMS.txt,2,"- Show Mode: live-pressure repair stage with animated show-status/meter treatment.
- IR / Convolution Lab: post-production send -> convolution reverb / IR loader -> stereo FX return workflow.
- Immersive Routing: infrastructure-based 5.1 routing: audio interface outputs -> speaker processor inputs -> speaker processor outputs -> physical speakers.
- Build-the-Room gear vocabulary expansion for speaker processors, convolution reverbs / IR loaders, and FX return sections.
New prototype levels:
- BRD-103 Find the Mistake: Cue Feed Interrupt
- BRD-104 Diagnose: Remote Mix-Minus
- LIV-113 Show Mode: IEM Right Side Gone
- PST-102 Immersive 5.1 Speaker Processor Order
- PST-103 Convolution Reverb IR Return
Important design notes:
- Immersive audio is now based on real-world infrastructure and channel identity, not simplified content rules.
- Music/effects are not restricted to L/R; surround and LFE usage is program-dependent.
- Stereo pair completeness remains enforced conceptually in the new IR and immersive examples.
- This is a broad prototype integration pass, not a final balancing pass.
Suggested smoke tests:
- Open BRD-103 and confirm Find-the-Mistake stage appears and completes by selecting the bad route.
- Open BRD-104 and confirm Diagnosis stage appears and completes by selecting the program-to-hybrid send error.
- Open LIV-113 and confirm Show Mode appears and completes by selecting the bad mains-to-IEM route.
- Open PST-102 and confirm the immersive infrastructure stage appears.
- Open PST-103 and confirm the IR / Convolution Lab appears."
LIV-013,docs/build_notes_history/BUILD_NOTES_v1_40_95_VISUAL_MULTI_MODE_LIV013.txt,2,"Signal Flow v1.40.95 - Visual Multi-Mode LIV-013 Prototype
Base: v1.40.94 standalone full variety systems.
Added a visual-first multi-mode prototype based on the LIV-013 IEM system concept.
New prototype levels:
- LIV-213 Visual Build: Assemble the IEM System
- LIV-214 Visual Patch Lab
- LIV-215 Signal Inspection: Find the Mistake
- LIV-216 Diagnose: Performer Hears Left Only
- LIV-217 Show Mode: Restore the IEM Right Side
- LIV-218 Visual 5.1 Speaker Calibration: Interface to Processor
- LIV-219 Visual IR Lab: Convolution Reverb Return
Interaction/UI additions:
- Visual signal-flow cards for source -> stagebox -> snake -> console -> IEM transmitter.
- Signal pulse / stereo mate assist visual controls for patch mode."
LIV-213,docs/build_notes_history/BUILD_NOTES_v1_40_95_VISUAL_MULTI_MODE_LIV013.txt,1,"Signal Flow v1.40.95 - Visual Multi-Mode LIV-013 Prototype
Base: v1.40.94 standalone full variety systems.
Added a visual-first multi-mode prototype based on the LIV-013 IEM system concept.
New prototype levels:
- LIV-213 Visual Build: Assemble the IEM System
- LIV-214 Visual Patch Lab
- LIV-215 Signal Inspection: Find the Mistake
- LIV-216 Diagnose: Performer Hears Left Only
- LIV-217 Show Mode: Restore the IEM Right Side
- LIV-218 Visual 5.1 Speaker Calibration: Interface to Processor
- LIV-219 Visual IR Lab: Convolution Reverb Return
Interaction/UI additions:
- Visual signal-flow cards for source -> stagebox -> snake -> console -> IEM transmitter.
- Signal pulse / stereo mate assist visual controls for patch mode.
- Probe tool + trace cable panel for Find-the-Mistake.
- Diagnosis layout with routing monitor, inject signal button, IEM vitals, and trace action.
- Show Mode crisis layout with performer status, protected PA mains note, and show clock."
LIV-214,docs/build_notes_history/BUILD_NOTES_v1_40_95_VISUAL_MULTI_MODE_LIV013.txt,1,"Signal Flow v1.40.95 - Visual Multi-Mode LIV-013 Prototype
Base: v1.40.94 standalone full variety systems.
Added a visual-first multi-mode prototype based on the LIV-013 IEM system concept.
New prototype levels:
- LIV-213 Visual Build: Assemble the IEM System
- LIV-214 Visual Patch Lab
- LIV-215 Signal Inspection: Find the Mistake
- LIV-216 Diagnose: Performer Hears Left Only
- LIV-217 Show Mode: Restore the IEM Right Side
- LIV-218 Visual 5.1 Speaker Calibration: Interface to Processor
- LIV-219 Visual IR Lab: Convolution Reverb Return
Interaction/UI additions:
- Visual signal-flow cards for source -> stagebox -> snake -> console -> IEM transmitter.
- Signal pulse / stereo mate assist visual controls for patch mode.
- Probe tool + trace cable panel for Find-the-Mistake.
- Diagnosis layout with routing monitor, inject signal button, IEM vitals, and trace action.
- Show Mode crisis layout with performer status, protected PA mains note, and show clock.
- Speaker calibration room layout for infrastructure-based 5.1 routing."
LIV-215,docs/build_notes_history/BUILD_NOTES_v1_40_95_VISUAL_MULTI_MODE_LIV013.txt,1,"Base: v1.40.94 standalone full variety systems.
Added a visual-first multi-mode prototype based on the LIV-013 IEM system concept.
New prototype levels:
- LIV-213 Visual Build: Assemble the IEM System
- LIV-214 Visual Patch Lab
- LIV-215 Signal Inspection: Find the Mistake
- LIV-216 Diagnose: Performer Hears Left Only
- LIV-217 Show Mode: Restore the IEM Right Side
- LIV-218 Visual 5.1 Speaker Calibration: Interface to Processor
- LIV-219 Visual IR Lab: Convolution Reverb Return
Interaction/UI additions:
- Visual signal-flow cards for source -> stagebox -> snake -> console -> IEM transmitter.
- Signal pulse / stereo mate assist visual controls for patch mode.
- Probe tool + trace cable panel for Find-the-Mistake.
- Diagnosis layout with routing monitor, inject signal button, IEM vitals, and trace action.
- Show Mode crisis layout with performer status, protected PA mains note, and show clock.
- Speaker calibration room layout for infrastructure-based 5.1 routing.
- Convolution reverb / IR loader lab with waveform, room preview, and stereo return choices."
LIV-216,docs/build_notes_history/BUILD_NOTES_v1_40_95_VISUAL_MULTI_MODE_LIV013.txt,1,"Base: v1.40.94 standalone full variety systems.
Added a visual-first multi-mode prototype based on the LIV-013 IEM system concept.
New prototype levels:
- LIV-213 Visual Build: Assemble the IEM System
- LIV-214 Visual Patch Lab
- LIV-215 Signal Inspection: Find the Mistake
- LIV-216 Diagnose: Performer Hears Left Only
- LIV-217 Show Mode: Restore the IEM Right Side
- LIV-218 Visual 5.1 Speaker Calibration: Interface to Processor
- LIV-219 Visual IR Lab: Convolution Reverb Return
Interaction/UI additions:
- Visual signal-flow cards for source -> stagebox -> snake -> console -> IEM transmitter.
- Signal pulse / stereo mate assist visual controls for patch mode.
- Probe tool + trace cable panel for Find-the-Mistake.
- Diagnosis layout with routing monitor, inject signal button, IEM vitals, and trace action.
- Show Mode crisis layout with performer status, protected PA mains note, and show clock.
- Speaker calibration room layout for infrastructure-based 5.1 routing.
- Convolution reverb / IR loader lab with waveform, room preview, and stereo return choices."
LIV-217,docs/build_notes_history/BUILD_NOTES_v1_40_95_VISUAL_MULTI_MODE_LIV013.txt,1,"Added a visual-first multi-mode prototype based on the LIV-013 IEM system concept.
New prototype levels:
- LIV-213 Visual Build: Assemble the IEM System
- LIV-214 Visual Patch Lab
- LIV-215 Signal Inspection: Find the Mistake
- LIV-216 Diagnose: Performer Hears Left Only
- LIV-217 Show Mode: Restore the IEM Right Side
- LIV-218 Visual 5.1 Speaker Calibration: Interface to Processor
- LIV-219 Visual IR Lab: Convolution Reverb Return
Interaction/UI additions:
- Visual signal-flow cards for source -> stagebox -> snake -> console -> IEM transmitter.
- Signal pulse / stereo mate assist visual controls for patch mode.
- Probe tool + trace cable panel for Find-the-Mistake.
- Diagnosis layout with routing monitor, inject signal button, IEM vitals, and trace action.
- Show Mode crisis layout with performer status, protected PA mains note, and show clock.
- Speaker calibration room layout for infrastructure-based 5.1 routing.
- Convolution reverb / IR loader lab with waveform, room preview, and stereo return choices.
Kept route logic consistent with the existing rule set:"
LIV-218,docs/build_notes_history/BUILD_NOTES_v1_40_95_VISUAL_MULTI_MODE_LIV013.txt,1,"Added a visual-first multi-mode prototype based on the LIV-013 IEM system concept.
New prototype levels:
- LIV-213 Visual Build: Assemble the IEM System
- LIV-214 Visual Patch Lab
- LIV-215 Signal Inspection: Find the Mistake
- LIV-216 Diagnose: Performer Hears Left Only
- LIV-217 Show Mode: Restore the IEM Right Side
- LIV-218 Visual 5.1 Speaker Calibration: Interface to Processor
- LIV-219 Visual IR Lab: Convolution Reverb Return
Interaction/UI additions:
- Visual signal-flow cards for source -> stagebox -> snake -> console -> IEM transmitter.
- Signal pulse / stereo mate assist visual controls for patch mode.
- Probe tool + trace cable panel for Find-the-Mistake.
- Diagnosis layout with routing monitor, inject signal button, IEM vitals, and trace action.
- Show Mode crisis layout with performer status, protected PA mains note, and show clock.
- Speaker calibration room layout for infrastructure-based 5.1 routing.
- Convolution reverb / IR loader lab with waveform, room preview, and stereo return choices.
Kept route logic consistent with the existing rule set:
- Stagebox signal path requires an audio snake in Build mode."
