level_id,status,wrapper_status,route_family,title_family,required_routes_draft,required_equipment,generated_jacks_and_false_options,stereo_pair_rule,assets_needed,audit_notes
LIV-001,NON-PATCH - do not convert to native patch UI,visible in v1.41.18 wrapper,lead-vocal-to-foh,Lead Vocal Mic to FOH,Lead Vocal Mic -> Stage Box Input 1; Main L Output -> System Processor L In; Main R Output -> System Processor R In,Lead Vocal Mic; 16ch Stage Box; FOH Console; System Processor,Stage Box Inputs 1-16; FOH Main L/R outputs; System Processor L/R inputs,Main L/R processor pair required by global stereo rule,Mic source card; 16ch stagebox asset; FOH console asset; system processor asset,Uploaded raw snippets show Main L in several places; manifest must add/check Main R by stereo-pair rule. Do not apply LIV-025/LIV-026 native patch renderer to this level until non-patch training mode is explicitly designed.
LIV-002,PATCH BOARD - native manifest candidate,visible in v1.41.18 wrapper,vocal-wedge-mix,Vocal wedge mix,Lead Vocal Mic -> Stage Box Input 1; FOH Aux 1 Output -> Vocal Wedge Input,Lead Vocal Mic; 16ch Stage Box; FOH Console; Vocal Wedge,Stage Box Inputs 1-16; FOH Aux outputs 1-8; Vocal Wedge input; FOH Main L/R false options,,Mic source card; 16ch stagebox asset; FOH console asset; wedge monitor asset,
LIV-003,PATCH BOARD - native manifest candidate,visible in v1.41.18 wrapper,stereo-iem-send,Stereo IEM send,FOH Aux 5 L Output -> IEM TX A Left Input; FOH Aux 5 R Output -> IEM TX A Right Input,FOH Console; IEM Transmitter A,FOH Aux 5 L/R outputs; IEM TX A L/R inputs; Main L/R false options,Aux 5 L/R -> IEM TX A L/R must be complete,FOH console asset; IEM transmitter asset,
LIV-004,NON-PATCH - do not convert to native patch UI,visible in v1.41.18 wrapper,front-fill-matrix,Front fill matrix,Matrix 1 Output -> Front Fill Processor Input; Main L Output -> System Processor L In; Main R Output -> System Processor R In,FOH Console; Front Fill Processor; System Processor,Matrix outputs 1-4; Front Fill Processor input; FOH Main L/R outputs; System Processor L/R inputs,Main L/R processor pair required by global stereo rule,FOH console asset; front fill processor asset; system processor asset,Uploaded raw snippets show Main L in several places; manifest must add/check Main R by stereo-pair rule. Do not apply LIV-025/LIV-026 native patch renderer to this level until non-patch training mode is explicitly designed.
LIV-005,NON-PATCH - do not convert to native patch UI,not visible; slot replaced by LIV-IR alias in wrapper,sub-matrix-feed,Sub matrix feed,Matrix 2 Output -> Sub Processor Input; Main L Output -> System Processor L In; Main R Output -> System Processor R In,FOH Console; Sub Processor / Crossover; System Processor,Matrix outputs 1-4; Sub Processor input; FOH Main L/R outputs; System Processor L/R inputs,Main L/R processor pair required by global stereo rule,FOH console asset; sub processor/crossover asset; system processor asset,Wrapper slot replaced by LIV-IR alias; keep source level but do not prioritize native board. Uploaded raw snippets show Main L in several places; manifest must add/check Main R by stereo-pair rule. Do not apply LIV-025/LIV-026 native patch renderer to this level until non-patch training mode is explicitly designed.
LIV-006,PATCH BOARD - native manifest candidate,visible in v1.41.18 wrapper,delay-tower-route,Delay tower route,Matrix 3 Output -> Delay Tower Processor Input; Main L Output -> System Processor L In; Main R Output -> System Processor R In,FOH Console; Delay Tower Processor; System Processor,Matrix outputs 1-4; Delay Tower Processor input; FOH Main L/R outputs; System Processor L/R inputs,Main L/R processor pair required by global stereo rule,FOH console asset; delay tower processing asset; system processor asset,Uploaded raw snippets show Main L in several places; manifest must add/check Main R by stereo-pair rule.
LIV-007,PATCH BOARD - native manifest candidate,visible in v1.41.18 wrapper,broadcast-split,Broadcast split,Broadcast Split L -> Record Out L; Broadcast Split R -> Record Out R,Broadcast Split / Iso Split; Recorder / Stream Feed,Broadcast Split L/R; Record Out L/R; Main L/R false options,Broadcast Split L/R -> Record Out L/R must be complete,broadcast split asset; recorder/stream feed asset,
LIV-008,NON-PATCH - do not convert to native patch UI,visible in v1.41.18 wrapper,talkback-monitor-system,Talkback to monitor system,Talkback Mic -> Stage Box Input 14; Talkback Output -> In-Ear B In; Lead Vocal Mic -> Stage Box Input 1; Keys L DI -> Stage Box Input 7; Keys R DI -> Stage Box Input 8,Talkback Mic; Lead Vocal Mic; Keys L DI; Keys R DI; 16ch Stage Box; FOH Console; In-Ear Monitoring Rack,Stage Box Inputs 1-16; FOH Talkback output; IEM A/B inputs; FOH Main L/R false options; FOH Aux outputs false options,Keys L/R stagebox pair must be complete; IEM B is mono input in current wording,Talkback mic source card; source cards for lead vocal/keys; 16ch stagebox asset; FOH console asset; In-Ear Monitoring rack asset,No manual Talkback Mic injection; source node must be created through normal source-node path. Do not apply LIV-025/LIV-026 native patch renderer to this level until non-patch training mode is explicitly designed.
LIV-009,PATCH BOARD - native manifest candidate,visible in v1.41.18 wrapper,keyboard-stereo-inputs,Keyboard stereo inputs,Keys L DI -> Stage Box Input 7; Keys R DI -> Stage Box Input 8,Keys L DI; Keys R DI; 16ch Stage Box,Stage Box Inputs 1-16; Keys L/R source nodes; nearby false stagebox inputs 6/9,Keys L/R -> adjacent Stage Box 7/8 must be complete and not crossed,Keys L/R DI source cards; 16ch stagebox asset,
LIV-010,PATCH BOARD - native manifest candidate,visible in v1.41.18 wrapper,main-pa-amp-feed,Main PA amp feed,Main L Output -> System Processor L In; Main R Output -> System Processor R In; System Processor L Out -> Main PA Amp L In; System Processor R Out -> Main PA Amp R In,FOH Console; System Processor; Main PA Amplifier,FOH Main L/R outputs; System Processor L/R inputs; System Processor L/R outputs; Main PA Amp L/R inputs; processor-to-processor false options,Main L/R to processor and processor L/R to amp must both be complete,FOH console asset; system processor asset; Main PA amplifier asset,
LIV-011,PATCH BOARD - native manifest candidate,visible in v1.41.18 wrapper,lead-vocal-to-foh,Lead Vocal Mic to FOH,Lead Vocal Mic -> Stage Box Input 11; Main L Output -> System Processor L In; Main R Output -> System Processor R In,Lead Vocal Mic; 16ch Stage Box; FOH Console; System Processor,Stage Box Inputs 1-16; FOH Main L/R outputs; System Processor L/R inputs,Main L/R processor pair required by global stereo rule,Mic source card; 16ch stagebox asset; FOH console asset; system processor asset,Uploaded raw snippets show Main L in several places; manifest must add/check Main R by stereo-pair rule.
LIV-012,PATCH BOARD - native manifest candidate,visible in v1.41.18 wrapper,vocal-wedge-mix,Vocal wedge mix,Lead Vocal Mic -> Stage Box Input 1; FOH Aux 1 Output -> Vocal Wedge Input,Lead Vocal Mic; 16ch Stage Box; FOH Console; Vocal Wedge,Stage Box Inputs 1-16; FOH Aux outputs 1-8; Vocal Wedge input; FOH Main L/R false options,,Mic source card; 16ch stagebox asset; FOH console asset; wedge monitor asset,
LIV-013,NON-PATCH - do not convert to native patch UI,visible in v1.41.18 wrapper,stereo-iem-send,Stereo IEM send,FOH Aux 5 L Output -> IEM TX A Left Input; FOH Aux 5 R Output -> IEM TX A Right Input,FOH Console; IEM Transmitter A,FOH Aux 5 L/R outputs; IEM TX A L/R inputs; Main L/R false options,Aux 5 L/R -> IEM TX A L/R must be complete,FOH console asset; IEM transmitter asset,Do not apply LIV-025/LIV-026 native patch renderer to this level until non-patch training mode is explicitly designed.
LIV-014,NON-PATCH - do not convert to native patch UI,not visible; slot replaced by LIV-IR alias in wrapper,front-fill-matrix,Front fill matrix,Matrix 1 Output -> Front Fill Processor Input; Main L Output -> System Processor L In; Main R Output -> System Processor R In,FOH Console; Front Fill Processor; System Processor,Matrix outputs 1-4; Front Fill Processor input; FOH Main L/R outputs; System Processor L/R inputs,Main L/R processor pair required by global stereo rule,FOH console asset; front fill processor asset; system processor asset,Wrapper slot replaced by LIV-IR alias; keep source level but do not prioritize native board. Uploaded raw snippets show Main L in several places; manifest must add/check Main R by stereo-pair rule. Do not apply LIV-025/LIV-026 native patch renderer to this level until non-patch training mode is explicitly designed.
